model,parameters,best cv score,validation score,test score,MAE train,MAE validation, MAE test,RMSE train, RMSE validation, RMSE test,R2 train, R2 validation, R2 test
Ridge,,-1172018440.4057026,-1093548080.0988693,-540533105.8343711,13389.662786296547, NA, 17227.10848644998,21213.391235649848,NA, 23249.367858812227,0.9246919268686277, NA, 0.9071687514786302
Linear Regression,,-1259420984.1594183,-910621824.9421562,-2105997505.288563,12891.827765216032,18217.80771451575,21186.84321415809,18545.74222075178,30176.511145958477,45891.14844159561,0.9424414598784929,0.8826596214108757,0.638315626390638
Linear Regression,,-1259420984.1594183,-910621824.9421562,-2105997505.288563,12891.827765216032,18217.80771451575,21186.84321415809,18545.74222075178,30176.511145958477,45891.14844159561,0.9424414598784929,0.8826596214108757,0.638315626390638
ridge,"{'poly__degree': 2, 'ridge__alpha': 400, 'scaler_nonskewed': MaxAbsScaler()}",-1171737342.77337,-1158079226.984375,-564065481.3261087,14326.703845879558,17882.664915989702,17739.74802358485,22746.773660332678,34030.563130579765,23750.06276467725,0.9134113547524785,0.8507728991239818,0.9031272972661271
ridge,"{'poly__degree': 2, 'ridge__alpha': 400, 'scaler_nonskewed': MaxAbsScaler()}",-1171737342.77337,-1158079226.984375,-564065481.3261087,14326.703845879558,17882.664915989702,17739.74802358485,22746.773660332678,34030.563130579765,23750.06276467725,0.9134113547524785,0.8507728991239818,0.9031272972661271
ridge,"{'poly__degree': 1, 'ridge__alpha': 100}",-1204267797.6470647,-1384259648.3169465,-494531623.2212942,16973.702750359385,20312.534068293407,16492.55452318923,29272.84408569004,37205.64000681814,22238.066984818943,0.856599332954037,0.82162787366811,0.915069054010913
ridge,"{'poly__degree': 1, 'ridge__alpha': 100}",-1204267797.6470647,-1384259648.3169465,-494531623.2212942,16973.702750359385,20312.534068293407,16492.55452318923,29272.84408569004,37205.64000681814,22238.066984818943,0.856599332954037,0.82162787366811,0.915069054010913
ridge,"{'poly__degree': 2, 'ridge__alpha': 400, 'scaler_nonskewed': MaxAbsScaler()}",-1171737342.77337,-1158079226.984375,-564065481.3261087,14326.703845879558,17882.664915989702,17739.74802358485,22746.773660332678,34030.563130579765,23750.06276467725,0.9134113547524785,0.8507728991239818,0.9031272972661271
ridge,"{'poly__degree': 1, 'ridge__alpha': 100}",-1204267797.6470647,-1384259648.3169465,-494531623.2212942,16973.702750359385,20312.534068293407,16492.55452318923,29272.84408569004,37205.64000681814,22238.066984818943,0.856599332954037,0.82162787366811,0.915069054010913
linear_reg,"{'linearegression__fit_intercept': True, 'poly__degree': 1, 'scaler_nonskewed': MaxAbsScaler()}",-1311410713.7075527,-901038847.2801251,-2015228020.575308,12891.651492143921,18196.256825108965,20872.628547936467,18545.74130797612,30017.309127903605,44891.29114399928,0.9424414655442714,0.8838944591844435,0.6539043932998656
